date,elon,isPartial
2022-08-14,18,False
2022-08-21,16,False
2022-08-28,17,False
2022-09-04,19,False
2022-09-11,17,False
2022-09-18,14,False
2022-09-25,16,False
2022-10-02,16,False
2022-10-09,16,False
2022-10-16,16,False
2022-10-23,31,False
2022-10-30,39,False
2022-11-06,27,False
2022-11-13,27,False
2022-11-20,25,False
2022-11-27,23,False
2022-12-04,22,False
2022-12-11,30,False
2022-12-18,22,False
2022-12-25,17,False
2023-01-01,17,False
2023-01-08,17,False
2023-01-15,17,False
2023-01-22,19,False
2023-01-29,15,False
2023-02-05,15,False
2023-02-12,17,False
2023-02-19,16,False
2023-02-26,15,False
2023-03-05,15,False
2023-03-12,17,False
2023-03-19,17,False
2023-03-26,16,False
2023-04-02,16,False
2023-04-09,29,False
2023-04-16,49,False
2023-04-23,21,False
2023-04-30,17,False
2023-05-07,16,False
2023-05-14,20,False
2023-05-21,17,False
2023-05-28,16,False
2023-06-04,16,False
2023-06-11,16,False
2023-06-18,21,False
2023-06-25,22,False
2023-07-02,20,False
2023-07-09,19,False
2023-07-16,17,False
2023-07-23,18,False
2023-07-30,18,False
2023-08-06,17,False
2023-08-13,16,False
2023-08-20,15,False
2023-08-27,15,False
2023-09-03,14,False
2023-09-10,15,False
2023-09-17,16,False
2023-09-24,15,False
2023-10-01,16,False
2023-10-08,13,False
2023-10-15,11,False
2023-10-22,11,False
2023-10-29,19,False
2023-11-05,18,False
2023-11-12,18,False
2023-11-19,17,False
2023-11-26,34,False
2023-12-03,24,False
2023-12-10,19,False
2023-12-17,16,False
2023-12-24,13,False
2023-12-31,15,False
2024-01-07,15,False
2024-01-14,13,False
2024-01-21,15,False
2024-01-28,10,True
